PrescriptionStatus,ImageUrl,Name,Manufacturer,ActiveSubstance,Price,OldPrice,DrugUrl
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/4AFsu5UBAi6hE-ZkjTej-300x300,"Тирзетта Раствор для подкожного введения 5 мг 0,5 мл 4 шт",Биохимик,Тирзепатид,9267.3,10297,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tirzetta-rr-p-k-vved-5-mg-0-5-ml-4-664657/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/0jxsu5UBAi6hE-ZkNhOx-300x300,"Тирзетта Раствор для подкожного введения 2,5 мг 0,5 мл 4 шт",Биохимик,Тирзепатид,5545,7545,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tirzetta-rr-p-k-vved-2-5-mg-0-5-ml-4-664656/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/eIvB4pkBjIJXAzWhQMrp-300x300,"Набор из двух упаковок Семавик Раствор 0,25мг/0,5мг/1мг/доза 3мл+Игла одноразовая 9 шт",,,10480,11480,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_semavik-rr-p-k-vved-0-25-0-5-1mg-doza-3ml-n1-shpricruchka-igla-odnoraz-n9-668719-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/lC4uLpwBO1hvZDjOuCH5-300x300,"Набор из трех упаковок Семавик Раствор для подкожного введения 1,34 мг/мл шприц-ручка 3 мл 1 шт + иглы 9 шт",,,15220,17220,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_semavik-rr-p-k-vved-0-25-0-5-1mg-doza-3ml-n1-shpricruchka-igla-odnoraz-n9-668719-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/SGxtuJkBu6LHc-yH4zaZ-300x300,"Семавик Раствор для подкожного введения 1,34 мг/мл шприц-ручка 3 мл 1 шт + иглы 9 шт",Герофарм,Семаглутид,5740,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/semavik-rr-p-k-vved-0-25-0-5-1mg-doza-3ml-n1-shpricruchka-igla-odnoraz-n9-668719/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/kNNtu5UBAi6hE-ZkCCDS-300x300,"Тирзетта Раствор для подкожного введения 7,5 мг 0,5 мл 4 шт",Биохимик,Тирзепатид,11540.7,12823,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tirzetta-rr-p-k-vved-7-5-mg-0-5-ml-4-664658/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/T7YHYZgBEl21vw0WA5ri-300x300,"Седжаро Раствор для подкожного введения 5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",Герофарм,Тирзепатид,7717,8967,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-rr-dlja-p-k-vved-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666581/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/Sa8PoZcB2BGN4fsdPB4e-300x300,Форсига Таблетки покрытые пленочной оболочкой 10 мг 30 шт,AstraZeneca,Дапаглифлозин,2542.5,2825,https://gorzdrav.org/category/sredstva-ot-diabeta/p/forsiga-tabl-10mg-n30-49574/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/5Leo4pkBBFTqaCxSMlZu-300x300,Набор из двух упаковок Семавик Некст раствор 1 мг шприц-ручка 3 мл 1 шт + игла одноразовая 4 шт.,,,8972,9972,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_semavik-nekst-0-001-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667602-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/ORMWLpwBOkTyP3bfG9vK-300x300,Набор из трех упаковок Семавик Некст Раствор для подкожного введения 1 мг/доза шприц-ручка 3 мл 1 шт + иглы 4 шт,,,13458,14958,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_semavik-nekst-0-001-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667602-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/cInxCZgBH0J-GJRPmR2l-300x300,Семавик Некст Раствор для подкожного введения 1 мг/доза шприц-ручка 3 мл 1 шт + иглы 4 шт,Герофарм,Семаглутид,4986,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/semavik-nekst-0-001-doza-3ml-n1-shpricruchka-rr-p-k-igla-odnoraz-n4-667602/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/-o9ru5UBRnED4k9i-lQ7-300x300,"Тирзетта Раствор для подкожного введения 10 мг 0,5 мл 4 шт",Биохимик,Тирзепатид,13807.8,15342,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tirzetta-rr-p-k-vved-10-mg-0-5-ml-4-664659/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/Nq4GYZgBJwpR6z9ZlqrG-300x300,"Седжаро Раствор для подкожного введения 2,5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",Герофарм,Тирзепатид,5565,6815,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-rr-dlja-p-k-vved-2-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666576/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/GWDB4pkBBFTqaCxS8DM--300x300,"Набор из двух упаковок Седжаро Раствор 7,5 мг шприц-ручка 2,4 мл 1 шт + игла 4 шт",,,18734,20734,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-rr-dlja-p-k-vved-7-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666776-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/dPkLLpwBO1hvZDjO37BX-300x300,"Набор из трех упаковок Седжаро Раствор для подкожного введения 7,5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",,,27101,31101,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-rr-dlja-p-k-vved-7-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666776-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/lmgGYZgBJwpR6z9ZDMTk-300x210,"Седжаро Раствор для подкожного введения 7,5 мг/доза шприц-ручка 2,4 мл 1 шт + игла 4 шт",Герофарм,Тирзепатид,10367,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-rr-dlja-p-k-vved-7-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666776/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/kfYPLpwBOkTyP3bfuIe6-300x300,Набор из двух упаковок Седжаро Раствор для подкожного введения 10 мг/доза + игла 4 шт,,,22656,24656,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-01-doza-shpricruchka-rr-p-k-igla-n4-667071-2/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/iJkPLpwBO1hvZDjOQ6_e-300x300,Набор из трех упаковок Седжаро Раствор для подкожного введения 10 мг/доза + игла 4 шт,,,32984,36984,https://gorzdrav.org/category/sredstva-ot-diabeta/p/bundle_sedzharo-0-01-doza-shpricruchka-rr-p-k-igla-n4-667071-3/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/ktIEYZgBJwpR6z9Z7YRR-300x210,Седжаро Раствор для подкожного введения 10 мг/доза + игла 4 шт,Герофарм,Тирзепатид,12328,,https://gorzdrav.org/category/sredstva-ot-diabeta/p/sedzharo-0-01-doza-shpricruchka-rr-p-k-igla-n4-667071/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/hWxCtpUBybk0vr4zyAwc-192x300,Джардинс Таблетки покрытые пленочной оболочкой 25 мг 30 шт,Берингер,Эмпаглифлозин,2941.2,3268,https://gorzdrav.org/category/sredstva-ot-diabeta/p/dzhardins-tabl-p-pl-ob-25mg-n30-60978/
По рецепту,https://gorzdrav.org/category/sredstva-ot-diabeta/api/v1/multimedia/media/downloadFile/Foxsu5UBRnED4k9iMXXS-300x300,"Тирзетта Раствор для подкожного введения 12,5 мг 0,5 мл 4 шт",Биохимик,Тирзепатид,17045.1,18939,https://gorzdrav.org/category/sredstva-ot-diabeta/p/tirzetta-rr-p-k-vved-12-5-mg-0-5-ml-4-664660/
